gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_22080,-0.018,1.0,-0.055,1.0,0,0.018,0.055,0,0
yciB,0.02,1.0,0.02,1.0,0,0.02,0.02,0,0
gyrA,0.007,1.0,-0.024,1.0,0,0.007,0.024,0,0
PA14_24730,0.004,1.0,0.035,1.0,0,0.004,0.035,0,0
PA14_26560,0.006,1.0,-0.013,1.0,0,0.006,0.013,0,0
PA14_27890,-0.082,1.0,-0.012,1.0,0,0.082,0.012,0,0
potF4,0.035,1.0,0.018,1.0,0,0.035,0.018,0,0
nuoB,0.011,1.0,-0.037,1.0,0,0.011,0.037,0,0
PA14_30390,0.033,1.0,0.025,1.0,0,0.033,0.025,0,0
PA14_32470,0.042,1.0,0.072,1.0,0,0.042,0.072,0,0
PA14_32770,0.016,1.0,0.028,1.0,0,0.016,0.028,0,0
PA14_33540,0.017,1.0,-0.004,1.0,0,0.017,0.004,0,0
metI-1,0.051,1.0,0.017,1.0,0,0.051,0.017,0,0
pbpC,0.032,1.0,-0.017,1.0,0,0.032,0.017,0,0
PA14_38210,-0.053,1.0,0.027,1.0,0,0.053,0.027,0,0
pscG,0.102,1.0,0.007,1.0,0,0.102,0.007,0,0
panB,-0.01,1.0,-0.022,1.0,0,0.01,0.022,0,0
xdhA,0.011,1.0,-0.037,1.0,0,0.011,0.037,0,0
cheY,0.036,1.0,0.035,1.0,0,0.036,0.035,0,0
aceK,0.01,1.0,0.011,1.0,0,0.01,0.011,0,0
PA14_46460,-0.002,1.0,-0.011,1.0,0,0.002,0.011,0,0
PA14_46560,0.004,1.0,0.014,1.0,0,0.004,0.014,0,0
phnR,0.003,1.0,-0.006,1.0,0,0.003,0.006,0,0
yeaM,-0.011,1.0,0.01,1.0,0,0.011,0.01,0,0
phaF,-0.01,1.0,0.02,1.0,0,0.01,0.02,0,0
phaD,0.026,1.0,0.0,1.0,0,0.026,0.0,0,0
PA14_51910,0.052,1.0,0.039,1.0,0,0.052,0.039,0,0
mntH2,0.026,1.0,-0.012,1.0,0,0.026,0.012,0,0
PA14_56930,0.013,1.0,0.007,1.0,0,0.013,0.007,0,0
speA,0.017,1.0,0.013,1.0,0,0.017,0.013,0,0
fbp,0.012,1.0,-0.015,1.0,0,0.012,0.015,0,0
PA14_68490,0.029,1.0,-0.021,1.0,0,0.029,0.021,0,0
PA14_70120,0.003,1.0,-0.022,1.0,0,0.003,0.022,0,0
rpoZ,0.03,1.0,-0.008,1.0,0,0.03,0.008,0,0
PA14_71260,-0.005,1.0,0.011,1.0,0,0.005,0.011,0,0
PA14_00070,0.037,1.0,0.019,1.0,0,0.037,0.019,0,0
PA14_00630,-0.026,1.0,-0.02,1.0,0,0.026,0.02,0,0
